Название пары,Дата сделки,Стратегия сделки,Цена сделки
BNBUSDT,2023-01-20 19:44:21,Close Long,0.05
SHIB1000USDT,2023-01-20 16:59:12,Close Short,1400
SHIB1000USDT,2023-01-20 16:36:30,Close Long,1400
DOGEUSDT,2023-01-20 16:17:31,Close Long,165
LINKUSDT,2023-01-20 14:42:20,Close Long,2
BNBUSDT,2023-01-20 05:23:30,Close Short,0.05
LINKUSDT,2023-01-20 04:44:33,Close Short,2
SHIB1000USDT,2023-01-20 02:14:25,Close Short,1400
LINKUSDT,2023-01-20 01:27:52,Close Long,2
SHIB1000USDT,2023-01-20 01:06:12,Close Short,1400
LINKUSDT,2023-01-20 01:05:10,Close Short,2
SHIB1000USDT,2023-01-20 00:01:29,Close Short,1400
SHIB1000USDT,2023-01-19 23:27:32,Close Long,1400
LINKUSDT,2023-01-19 23:03:40,Close Long,2
BNBUSDT,2023-01-19 21:59:43,Close Short,0.05
LINKUSDT,2023-01-19 21:45:41,Close Short,2
DOGEUSDT,2023-01-19 21:19:03,Close Short,165
SHIB1000USDT,2023-01-19 21:14:34,Close Short,1400
BNBUSDT,2023-01-19 20:18:01,Close Long,0.05
LINKUSDT,2023-01-19 20:04:53,Close Long,2
DOGEUSDT,2023-01-19 19:56:38,Close Long,165
SHIB1000USDT,2023-01-19 18:40:16,Close Long,1400
SHIB1000USDT,2023-01-19 17:50:48,Close Short,2940
SHIB1000USDT,2023-01-19 14:01:34,Close Long,1400
SHIB1000USDT,2023-01-19 10:18:02,Close Short,1400
SHIB1000USDT,2023-01-19 09:40:08,Close Long,1400
SHIB1000USDT,2023-01-19 08:55:26,Close Short,1400
SHIB1000USDT,2023-01-19 08:36:34,Close Long,1400
SHIB1000USDT,2023-01-19 05:45:10,Close Short,440
SHIB1000USDT,2023-01-19 05:45:10,Close Short,960
SHIB1000USDT,2023-01-19 03:11:22,Close Long,2940
DOGEUSDT,2023-01-18 20:31:08,Close Short,165
SHIB1000USDT,2023-01-18 19:33:08,Close Long,1400
LINKUSDT,2023-01-18 19:32:24,Close Long,2
DOGEUSDT,2023-01-18 19:32:02,Close Long,165
LINKUSDT,2023-01-18 18:47:14,Close Long,2
SHIB1000USDT,2023-01-18 18:47:05,Close Long,1400
LINKUSDT,2023-01-18 17:12:49,Close Long,1.3
LINKUSDT,2023-01-18 17:12:47,Close Long,5.3
SHIB1000USDT,2023-01-18 16:59:41,Close Long,2940
BNBUSDT,2023-01-18 16:44:35,Close Short,0.38
DOGEUSDT,2023-01-18 16:42:19,Close Long,165
DOGEUSDT,2023-01-18 16:30:56,Close Long,545
SHIB1000USDT,2023-01-18 15:56:22,Close Long,1400
SHIB1000USDT,2023-01-18 15:53:57,Close Short,10780
DOGEUSDT,2023-01-18 15:50:24,Close Short,165
LINKUSDT,2023-01-18 15:37:56,Close Short,2
LINKUSDT,2023-01-18 13:47:17,Close Long,2
DOGEUSDT,2023-01-18 13:43:13,Close Long,165
DOGEUSDT,2023-01-18 13:33:28,Close Short,165
DOGEUSDT,2023-01-18 11:38:15,Close Long,165
DOGEUSDT,2023-01-18 08:19:12,Close Short,346
LINKUSDT,2023-01-18 06:49:28,Close Short,2
LINKUSDT,2023-01-18 01:22:52,Close Short,2
DOGEUSDT,2023-01-18 01:05:10,Close Long,330
LINKUSDT,2023-01-18 00:31:41,Close Long,2
SHIB1000USDT,2023-01-18 00:10:43,Close Long,1400
LINKUSDT,2023-01-17 22:34:35,Close Short,2
LINKUSDT,2023-01-14 09:21:25,Close Short,9.4
SHIB1000USDT,2023-01-14 09:21:16,Close Short,8530
